1	29288	the
2	20019	and	
3	13079	of	
4	9976	to	
5	9205	a	
6	8109	he	
7	7300	in	
8	6618	it	
9	6581	i	
10	6216	that	
11	5680	was	
12	5094	you	
13	4912	they	
14	4635	but	
15	4433	his	
16	4111	said	
17	3887	not	
18	3578	for	
19	3465	as	
20	3300	is	
21	3054	at	
22	3050	with	
23	3040	on	
24	2958	had	
25	2699	we	
26	2683	there	
27	2552	have	
28	2454	were	
29	2393	all	
30	2316	him	
31	2257	be	
32	2130	now	
33	2124	them	
34	2100	s	
35	2046	from	
36	1990	frodo	
37	1935	if	
38	1860	no	
39	1854	their	
40	1790	or	
41	1719	will	
42	1695	then	
43	1654	are	
44	1626	up	
45	1549	out	
46	1403	this	
47	1364	by	
48	1350	what	
49	1332	my	
50	1321	so	
51	1304	do	
52	1291	sam	
53	1256	came	
54	1243	me	
55	1197	great	
56	1174	come	
57	1169	could	
58	1162	t	
59	1158	down	
60	1147	long	
61	1146	would	
62	1133	into	
63	1124	like	
64	1122	gandalf	
65	1122	your	
66	1111	more	
67	1071	one	
68	1051	again	
69	1044	go	
70	1030	some	
71	1030	when	
72	998	before	
73	968	back	
74	966	been	
75	950	away	
76	910	still	
77	883	us	
78	866	many	
79	858	about	
80	853	see	
81	836	upon	
82	826	can	
83	818	far	
84	817	than	
85	804	here	
86	791	dark	
87	791	did	
88	791	last	
89	784	over	
90	773	men	
91	770	yet	
92	755	only	
93	737	way	
94	736	has	
95	735	an	
96	729	well	
97	726	old	
98	722	aragorn	
99	711	went	
100	699	time	
101	697	any	
102	695	must	
103	688	seemed	
104	685	pippin	
105	682	shall	
106	680	even	
107	674	know	
108	673	may	
109	665	where	
110	663	our	
111	643	its	
112	619	looked	
113	615	eyes	
114	602	light	
115	598	merry	
116	597	very	
117	589	little	
118	575	hobbits	
119	566	road	
120	563	while	
121	559	through	
122	546	which	
123	543	thought	
124	543	who	
125	539	saw	
126	532	say	
127	531	night	
128	524	behind	
129	515	after	
130	514	hand	
131	512	stood	
132	510	good	
133	507	off	
134	507	other	
135	507	ring	
136	505	too	
137	494	under	
138	493	ever	
139	490	think	
140	488	black	
141	488	heard	
142	486	end	
143	481	day	
144	473	passed	
145	472	her	
146	472	though	
147	471	am	
148	471	should	
149	467	don	
150	465	left	
151	456	made	
152	455	much	
153	450	let	
154	450	she	
155	435	land	
156	434	first	
157	431	things	
158	426	trees	
159	424	white	
160	423	gollum	
161	423	suddenly	
162	421	side	
163	414	two	
164	411	going	
165	410	himself	
166	408	master	
167	400	king	
168	399	lord	
169	398	found	
170	396	water	
171	394	fell	
172	394	ll	
173	390	gimli	
174	390	own	
175	390	turned	
176	387	these	
177	385	deep	
178	381	hope	
179	377	seen	
180	375	grey	
181	375	soon	
182	375	take	
183	374	once	
184	371	lay	
185	370	beyond	
186	370	get	
187	369	cried	
188	367	bilbo	
189	364	days	
190	361	never	
191	360	find	
192	355	high	
193	354	stone	
194	353	how	
195	352	above	
196	352	yes	
197	350	ores	
198	348	feet	
199	347	indeed	
200	347	set	
201	346	look	
202	346	until	
203	345	right	
204	342	shadow	
205	339	sun	
206	338	fear	
207	338	man	
208	337	took	
209	335	legolas	
210	334	such	
211	334	those	
212	332	shire	
213	331	voice	
214	330	head	
215	329	towards	
216	326	fire	
217	326	folk	
218	321	mr	
219	313	got	
220	312	round	
221	312	tell	
222	311	face	
223	311	gate	
224	310	might	
225	308	just	
226	307	wind	
227	299	west	
228	297	mountains	
229	296	north	
230	293	felt	
231	292	faramir	
232	292	gone	
233	290	began	
234	290	make	
235	290	river	
236	289	heart	
237	288	others	
238	287	since	
239	285	answered	
240	285	sat	
241	284	saruman	
242	283	words	
243	281	moment	
244	281	nothing	
245	280	near	
246	279	boromir	
247	278	green	
248	277	already	
249	276	need	
250	274	east	
251	270	cannot	
252	270	company	
253	269	gondor	
254	267	against	
255	267	between	
256	267	few	
257	266	spoke	
258	265	another	
259	264	elves	
260	263	put	
261	260	slowly	
262	256	coming	
263	256	mind	
264	254	three	
265	251	fair	
266	251	ve	
267	250	small	
268	249	why	
269	248	enemy	
270	247	among	
271	247	world	
272	246	hands	
